ry | 0 | 2.22327591796635
ry | 1 | 0.346385559312603
ry | 2 | -0.161774493516250
ry | 3 | -0.0209187881394329
ry | 4 | -0.833584561761959
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.389228336186601
ry | 1 | 0.889801991728229
ry | 2 | 0.159522178815627
ry | 3 | -0.183530851082916
ry | 4 | -0.349313718395491
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.206036051314482
ry | 1 | 0.514700085469024
ry | 2 | -2.11559086759331
ry | 3 | 0.768266438334345
ry | 4 | 1.14474487296727
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 2.52383832172250
ry | 1 | -1.96114594489779
ry | 2 | -0.461955370282965
ry | 3 | 0.0695423241165807
ry | 4 | 0.839753179592991
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.194175754002621
ry | 1 | -0.0554934677935723
ry | 2 | -0.563650929844674
ry | 3 | -1.59416420222406
ry | 4 | -0.411935398389858
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 2.00286838442621
ry | 1 | 0.496431310826849
ry | 2 | -1.04028060076182
ry | 3 | 1.32074537682542
ry | 4 | -0.644067598559435
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.435682937917868
ry | 1 | -0.326760539950254
ry | 2 | -0.568995124454599
ry | 3 | 0.795461356691372
ry | 4 | 0.00148430380899465
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.806326610570338
ry | 1 | -1.66784492020841
ry | 2 | 0.634685621353569
ry | 3 | -0.448590461846489
ry | 4 | -0.0286889522072145
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.217921818725457
ry | 1 | -0.129635002145799
ry | 2 | 0.232981255879878
ry | 3 | -0.0218235585926867
ry | 4 | -0.0103740154141619
