ry | 0 | 0.885984259150508
ry | 1 | 2.41764300586573
ry | 2 | 3.25538647502599
ry | 3 | 0.588735791717476
ry | 4 | -0.185351943965305
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.250522268325058
ry | 1 | -0.116123399676657
ry | 2 | 0.256168703833431
ry | 3 | -0.512524893512907
ry | 4 | -0.448664889131024
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.28473105332010
ry | 1 | 0.859192417423951
ry | 2 | -0.907605544476480
ry | 3 | -1.83342162776457
ry | 4 | 5.00486371440681
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.978886763679686
ry | 1 | 1.80480283043713
ry | 2 | -2.17524183855461
ry | 3 | 2.37833411294814
ry | 4 | -0.392868773282002
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.831970290045008
ry | 1 | -3.51255475499420
ry | 2 | -3.52960925155621
ry | 3 | 3.61129937337179
ry | 4 | -4.28183790224744
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.74594583855773
ry | 1 | -5.01762754064972
ry | 2 | 0.536355467537212
ry | 3 | -2.22038155606820
ry | 4 | 1.89376785287558
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.63951752881828
ry | 1 | -1.26245315821171
ry | 2 | 0.645001756030059
ry | 3 | 1.00469511621256
ry | 4 | 0.163479233125160
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.168996652983052
ry | 1 | 0.284684769795022
ry | 2 | -0.0356310605113784
ry | 3 | 0.194799658397750
ry | 4 | 0.0229256902712799
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.273203147398646
ry | 1 | -0.115854446519314
ry | 2 | -0.0154130846411077
ry | 3 | 0.0580007981595685
ry | 4 | -0.165583914880692
