ry | 0 | -0.986938911726617
ry | 1 | 0.0550284634086705
ry | 2 | -0.000489983328622254
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0285193644844479
ry | 1 | -0.0407746100226039
ry | 2 | 0.00502529175763582
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.000576982062086676
ry | 1 | -0.000858579042674057
ry | 2 | -0.00178677674514222
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00168740439949830
ry | 1 | -0.0500533284774762
ry | 2 | -0.0197686128255114
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.159579659303050
ry | 1 | -0.0525256572099909
ry | 2 | 0.239980083679463
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0792371928766661
ry | 1 | 0.0736092154391603
ry | 2 | -0.0618998299962450
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0224380601507271
ry | 1 | 0.124993152192283
ry | 2 | -0.186652662610302
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.0197687222315221
ry | 1 | -0.0192822608710454
ry | 2 | 0.0203736805962324
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0632383304857605
ry | 1 | -0.0356470875033677
ry | 2 | -0.0345064200460705
