ry | 0 | -0.436773186527958
ry | 1 | 0.352438439657969
ry | 2 | 0.555371416901862
ry | 3 | 0.414273779510357
ry | 4 | 0.0773731638311250
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.227885667221240
ry | 1 | 0.495803601274873
ry | 2 | 0.0839925087106913
ry | 3 | -0.00259952023291278
ry | 4 | -0.0177653858990761
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.279846568871454
ry | 1 | 0.359444682781336
ry | 2 | -0.168564467446609
ry | 3 | -1.35453428987014
ry | 4 | 1.12821881022060
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.674773163676791
ry | 1 | 0.551772118291575
ry | 2 | 0.763467036911769
ry | 3 | -0.0487178610787047
ry | 4 | 0.0136483466431277
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.100803172228257
ry | 1 | 0.368085634239644
ry | 2 | 1.82683312485140
ry | 3 | 0.410104529014223
ry | 4 | 0.0923798230271666
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.05585902406188
ry | 1 | -1.99392142016348
ry | 2 | -0.763686163254224
ry | 3 | -0.0462560509094062
ry | 4 | 0.0150899688389016
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.836853722785478
ry | 1 | 0.945883254912509
ry | 2 | 0.108018852353075
ry | 3 | 0.196208981865133
ry | 4 | -0.958904627155037
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.486192896608076
ry | 1 | -0.0670184926333804
ry | 2 | 0.238297352200211
ry | 3 | 0.00414839459247840
ry | 4 | 0.00213749050981744
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0345866319599320
ry | 1 | -0.172131766765013
ry | 2 | -0.520338845101403
ry | 3 | 0.462104232631014
ry | 4 | -0.334812346622008
