ry | 0 | 0.00303693114315549
ry | 1 | -0.255799476878482
ry | 2 | -0.121992040845477
ry | 3 | -0.289822168779748
ry | 4 | -0.00782416999402865
ry | 5 | -0.418024337161567
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.60164035530769
ry | 1 | 0.215186403069672
ry | 2 | -0.261641351691558
ry | 3 | 0.00566242275950547
ry | 4 | 0.0785672599560714
ry | 5 | -1.10212599247198
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.158685743516808
ry | 1 | -0.670747686857252
ry | 2 | -1.68958015498760
ry | 3 | 2.90037126891166
ry | 4 | -1.48103100127857
ry | 5 | -1.55226110819907
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0137585685609325
ry | 1 | -1.53275712189548
ry | 2 | 2.91685605727031
ry | 3 | 1.10310116303634
ry | 4 | 1.79203732679079
ry | 5 | -1.33947134520786
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0468329637663868
ry | 1 | 0.236572760403772
ry | 2 | 0.743733969968275
ry | 3 | 0.262355398054894
ry | 4 | -1.58209460927347
ry | 5 | 1.07475146820647
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.451940152795352
ry | 1 | 0.206462900780380
ry | 2 | -1.09483705465448
ry | 3 | 0.0254358714736399
ry | 4 | 0.0365798567132701
ry | 5 | 0.0803498957545559
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.22710823359595
ry | 1 | -0.823050289557850
ry | 2 | 0.741190066083160
ry | 3 | -0.0925287471147054
ry | 4 | -0.286666078354530
ry | 5 | -1.02525489206585
