ry | 0 | 1.64106855438637
ry | 1 | 1.44059948713923
ry | 2 | 1.98969897060722
ry | 3 | 0.395002425985537
ry | 4 | 0.791833235639231
ry | 5 | 1.89046996039127
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.14133715408475
ry | 1 | -1.02492815666964
ry | 2 | 0.997733589190649
ry | 3 | 1.27084582678586
ry | 4 | 6.31880507115980
ry | 5 | 3.13349275968164
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.06012895427625
ry | 1 | -1.53095229196719
ry | 2 | 0.0767484354223690
ry | 3 | 1.99074712568744
ry | 4 | -2.44445368928191
ry | 5 | -1.74224366829404
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.757395270343799
ry | 1 | -0.955162251231230
ry | 2 | -0.257377345568959
ry | 3 | -1.55467057043857
ry | 4 | -0.00261759870570072
ry | 5 | -0.00156031520198212
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.416883079966049
ry | 1 | -2.70496802893748
ry | 2 | 2.98543652077162
ry | 3 | 1.50151091005764
ry | 4 | -1.35839956769708
ry | 5 | -1.76624921868949
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 3.40910693542962
ry | 1 | -0.555050868375992
ry | 2 | 1.76369432158119
ry | 3 | 1.99454553896106
ry | 4 | 0.335455981931396
ry | 5 | 3.18643600033260
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 3.02602442961574
ry | 1 | -1.81882393211136
ry | 2 | -1.76772385633604
ry | 3 | 0.0181448539452108
ry | 4 | 2.83552228061036
ry | 5 | 1.57557084603362
