ry | 0 | 0.850158206189638
ry | 1 | -2.03697621268615
ry | 2 | 0.941780271196396
ry | 3 | 0.283365982802293
ry | 4 | 0.0043026861877867
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.356027017454606
ry | 1 | 0.0457616867465947
ry | 2 | -0.089915476196487
ry | 3 | 0.975433371225334
ry | 4 | -0.446770340502583
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.533453207644091
ry | 1 | 0.353969524532214
ry | 2 | 0.0182949879032095
ry | 3 | 0.163854860931859
ry | 4 | 0.329102112478486
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.212888035660342
ry | 1 | -0.435259354842572
ry | 2 | -0.656427748118346
ry | 3 | 0.907068637755169
ry | 4 | 0.534040867023713
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 3.16571569705295
ry | 1 | -0.0283639593467317
ry | 2 | -1.41831945668326
ry | 3 | -0.834295824421082
ry | 4 | -0.872945510941015
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.439985621792484
ry | 1 | -0.792194495677236
ry | 2 | -0.869130276445237
ry | 3 | 0.258928641006371
ry | 4 | 0.169170076753428
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.482230419907689
ry | 1 | 0.963484573516544
ry | 2 | -0.195595026837116
ry | 3 | 0.0725127429172608
ry | 4 | 0.122299997707108
