ry | 0 | -0.85501157474408
ry | 1 | -0.815488561252531
ry | 2 | -0.440023484203348
ry | 3 | -0.220009036430725
ry | 4 | 0.422653099138214
ry | 5 | -2.06068816321512
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.6990399225599
ry | 1 | 0.695313048043159
ry | 2 | 0.308620251071473
ry | 3 | -0.260450509930348
ry | 4 | -0.194931446798742
ry | 5 | -0.105253772239782
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.925542273561344
ry | 1 | -1.94506402617522
ry | 2 | 1.84287252638952
ry | 3 | -0.271681284047975
ry | 4 | 1.2159993578776
ry | 5 | 2.27733516086551
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.5170804778886
ry | 1 | 1.36509657603351
ry | 2 | 0.279795158321648
ry | 3 | 0.0767265738245099
ry | 4 | 0.555447458954062
ry | 5 | -1.442617576054
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.24014932848691
ry | 1 | 0.729480691413492
ry | 2 | -1.75060500169218
ry | 3 | 0.822018841746761
ry | 4 | -2.1558514980467
ry | 5 | 0.314566014016982
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.548181520027619
ry | 1 | -0.304430536227718
ry | 2 | 0.191305467828574
ry | 3 | 0.0108155952366113
ry | 4 | 0.152401225618047
ry | 5 | -0.177777735585629
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.969312419484244
ry | 1 | 0.512548612578485
ry | 2 | -0.0436542169505132
ry | 3 | -0.125962676534815
ry | 4 | 0.606065597093134
ry | 5 | -0.517995054645889
