ry | 0 | -2.64723975269575
ry | 1 | -0.507739273747326
ry | 2 | 3.35898549297939
ry | 3 | -0.801959428787625
ry | 4 | -0.204298434483279
ry | 5 | -0.21140966790102
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.163143703550211
ry | 1 | 0.703261158904758
ry | 2 | 0.349383143193541
ry | 3 | 0.232766833520282
ry | 4 | -1.92862922194713
ry | 5 | -3.94985705536131
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 3.06299920331047
ry | 1 | 0.380178642106208
ry | 2 | 2.20155040885197
ry | 3 | -1.05262572891032
ry | 4 | 1.90616052282349
ry | 5 | 1.95742699757593
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0825516302276663
ry | 1 | -0.0288313408263225
ry | 2 | -1.32018666074225
ry | 3 | -1.2447855408709
ry | 4 | 0.954710334189969
ry | 5 | 4.95801667372251
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.369064971359229
ry | 1 | 0.90374930518627
ry | 2 | -0.105056261581132
ry | 3 | -1.52497608325389
ry | 4 | -1.26291739951535
ry | 5 | 1.11297659856695
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.11818391275178
ry | 1 | 0.00938697976937304
ry | 2 | 0.0100682954730836
ry | 3 | -0.0429294740881861
ry | 4 | 0.0778614909093315
ry | 5 | 0.183509346963803
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.19726393367576
ry | 1 | -0.133706301011431
ry | 2 | 0.345415800622018
ry | 3 | 0.154202516478189
ry | 4 | -0.0113486061648828
ry | 5 | -0.128096270416083
