ry | 0 | -0.705709883255108
ry | 1 | 0.183912152753543
ry | 2 | 0.0540735031891648
ry | 3 | 0.183271267861775
ry | 4 | -0.073642859507026
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0997822764984222
ry | 1 | -0.309088940918678
ry | 2 | 0.170080726172504
ry | 3 | 0.0921555910400978
ry | 4 | -0.480315209100566
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.2472599142317
ry | 1 | -0.508720893283124
ry | 2 | 0.5436773620359
ry | 3 | 0.550077726097579
ry | 4 | -0.339855118567207
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0895545138558593
ry | 1 | 0.108495165020934
ry | 2 | 0.385362144356586
ry | 3 | -0.376882329948925
ry | 4 | -0.517974623120657
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.24466621993594
ry | 1 | 0.224798668832869
ry | 2 | -0.529838659686294
ry | 3 | -0.743208613787281
ry | 4 | 0.75342089469953
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.00578412184833194
ry | 1 | 0.0780520233151041
ry | 2 | 0.126155722597101
ry | 3 | -0.166078931930323
ry | 4 | 0.0572762782641226
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.529687247595607
ry | 1 | -0.129726990479699
ry | 2 | 0.0545850128902778
ry | 3 | -0.067954719567968
ry | 4 | -0.0905783195046576
