x | 0 | 
x | 2 | 
x | 4 | 
ry | 0 | 0.09148293031084648
ry | 1 | -1.7237361922217682
ry | 2 | -1.6549321682745002
ry | 3 | -1.5686904727937863
ry | 4 | -0.5907245954175869
ry | 5 | -0.002367219354735611
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.2597804911733025
ry | 1 | -0.5716929275689778
ry | 2 | -0.04971061029905184
ry | 3 | -0.00017726610046213796
ry | 4 | 0.06913087608341206
ry | 5 | 0.025212796344608587
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.740964898344479
ry | 1 | 2.6152841397219024
ry | 2 | 1.6617761093170407
ry | 3 | 1.5686885673721802
ry | 4 | 1.4139526112741674
ry | 5 | 0.0023299908040637957
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.6401979279644822
ry | 1 | -2.7247493159127872e-05
ry | 2 | -1.7411599484308477e-05
ry | 3 | -2.543131057355289e-06
ry | 4 | 1.5718142604968721
ry | 5 | -1.5712366375061693
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.05443694835021763
ry | 1 | -1.3578751803870721
ry | 2 | -3.3910085691210595e-06
ry | 3 | 1.1167986583207383e-07
ry | 4 | -1.5713717345451754
ry | 5 | -0.06430087906654873
