x | 0 | 
x | 1 | 
x | 3 | 
ry | 0 | -0.0609630318839105
ry | 1 | -1.55547681828444
ry | 2 | -0.798357298281796
ry | 3 | -0.00405323395600579
ry | 4 | -0.000492877951758247
ry | 5 | 0.00750313078425006
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.48633820387164
ry | 1 | 0.0267777054595026
ry | 2 | 0.00214795599304752
ry | 3 | 0.156677766941372
ry | 4 | 0.164511667495609
ry | 5 | -0.00218734856260330
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00534375204287232
ry | 1 | -0.0456884271414532
ry | 2 | 1.59185005923992
ry | 3 | -0.796250900553631
ry | 4 | 0.0134220735921223
ry | 5 | 0.0447933423367111
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0588649733775591
ry | 1 | -0.0181269737276977
ry | 2 | -0.0591314240002824
ry | 3 | -0.365479292431661
ry | 4 | 0.000198817756054948
ry | 5 | 0.0452449381940110
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0101355998222563
ry | 1 | 0.361123979143499
ry | 2 | -0.126111828296444
ry | 3 | 0.163817114852760
ry | 4 | 0.0472797300527558
ry | 5 | 1.54499260734838
