x | 0 | 
x | 2 | 
ry | 0 | 0.190576679901419
ry | 1 | 0.648801663711597
ry | 2 | 1.56496090984226
ry | 3 | 1.06424475140259
ry | 4 | -1.18559997494818
ry | 5 | 0.178879354074672
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.252231391606036
ry | 1 | -1.56207689283777
ry | 2 | 1.56509905605866
ry | 3 | 1.53896962735093
ry | 4 | -1.56540811329808
ry | 5 | -0.0798617382894696
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -7.84536434381089
ry | 1 | 7.82779199467975
ry | 2 | 2.35723054938030
ry | 3 | 0.00305321918644677
ry | 4 | 0.413533622218709
ry | 5 | -10.8606467223155
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.381965081922497
ry | 1 | -3.11242823564402
ry | 2 | -0.787624149880365
ry | 3 | 1.57404160590243
ry | 4 | -2.49405448166557
ry | 5 | -1.04692178847197
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.357013644069327
ry | 1 | 1.54993394007098
ry | 2 | -3.08979723962016
ry | 3 | -0.171396013398964
ry | 4 | 3.15905074132869
ry | 5 | 2.65261458107889
