x | 0 | 
x | 2 | 
x | 4 | 
ry | 0 | -0.325829429992798
ry | 1 | -1.48275211273304
ry | 2 | 1.48116749255961
ry | 3 | 2.28237143652298e-5
ry | 4 | -2.35250646943845e-5
ry | 5 | -8.87986902126903e-5
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.000845533152387576
ry | 1 | -1.57352529296873
ry | 2 | 0.688449322983541
ry | 3 | -0.00267054095445668
ry | 4 | -0.00494020611075544
ry | 5 | 1.71993186129857
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0136955205760566
ry | 1 | 1.48939631654435e-5
ry | 2 | 2.65775296875883e-5
ry | 3 | 1.57843767193284
ry | 4 | 0.248455590627503
ry | 5 | -2.57610694177651
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -8.59014874755634e-8
ry | 1 | -0.00138141069529740
ry | 2 | -0.00160613808399221
ry | 3 | 0.491663910092293
ry | 4 | -7.05644954665386e-5
ry | 5 | 0.00108872125035412
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.53891451562440
ry | 1 | -3.14159265358979
ry | 2 | 0.0870097112243440
ry | 3 | 1.41193596641863e-5
ry | 4 | -0.00823943209439061
ry | 5 | -2.43175946677329e-5
