ry | 0 | 1.33037816441950
ry | 1 | -6.05656646378069
ry | 2 | -0.995553193264634
ry | 3 | -2.52826203106981
ry | 4 | -0.388120052777258
ry | 5 | 1.56932728015797
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.85257955132091
ry | 1 | 0.262734172298647
ry | 2 | -0.715313327489635
ry | 3 | 0.0965832356215842
ry | 4 | -0.969344381468392
ry | 5 | -0.00525987748716532
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.209440755025210
ry | 1 | 4.48853476631624
ry | 2 | 0.238175473458854
ry | 3 | -2.65261882884783
ry | 4 | 1.57633866748490
ry | 5 | 3.14063308017728
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -5.58626219280980
ry | 1 | -1.16102997933605
ry | 2 | 1.34620221935122
ry | 3 | 1.99489212517366
ry | 4 | 0.575154382437877
ry | 5 | 0.000629499855711622
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 2.96695969232327
ry | 1 | -1.60631540650981
ry | 2 | 1.09489079105874
ry | 3 | 1.31013125227784
ry | 4 | -0.749269870017315
ry | 5 | -1.57157228593080
