ry | 0 | 0.350343368296359
ry | 1 | -0.0146723515262872
ry | 2 | -0.110583222443921
ry | 3 | 0.0715679962562245
ry | 4 | -0.311812287007888
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.107128047183986
ry | 1 | -0.436482721110011
ry | 2 | -0.282452308767120
ry | 3 | 0.280830017464432
ry | 4 | 0.112642418809090
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.18934215731050
ry | 1 | 0.246086811547027
ry | 2 | 0.615315025167621
ry | 3 | -0.176511797884164
ry | 4 | 0.568626449731580
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.191248409206626
ry | 1 | 0.0108953526847735
ry | 2 | -0.192691424572816
ry | 3 | 0.113815257688870
ry | 4 | -0.298924931847717
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.779407363799486
ry | 1 | -0.0646294570971939
ry | 2 | -0.603588474899176
ry | 3 | -0.181548835299886
ry | 4 | -0.0914312357329112
