ry | 0 | 0.304687289573569
ry | 1 | -1.03734257806187
ry | 2 | -0.202493278799071
ry | 3 | 0.0728047942781710
ry | 4 | -0.243080823898634
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.105489675831819
ry | 1 | -0.0917782489735358
ry | 2 | 0.0754322358338509
ry | 3 | 1.18112967761754
ry | 4 | 0.469107261820493
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.112567806433773
ry | 1 | -0.487756184439914
ry | 2 | 0.0348920179396224
ry | 3 | 0.234327447623857
ry | 4 | -0.0668457213534560
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.158469828530320
ry | 1 | -0.353471781655936
ry | 2 | -0.204874882129929
ry | 3 | -0.926955423128208
ry | 4 | 0.132162684168388
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.342529253709161
ry | 1 | -0.258804550194199
ry | 2 | -0.0501599306332393
ry | 3 | -0.204413885694788
ry | 4 | -0.164854426494032
