ry | 0 | -0.781127527763471
ry | 1 | -0.0495794102179604
ry | 2 | -0.672266043165512
ry | 3 | 0.162135560779254
ry | 4 | -1.00800181544203
ry | 5 | 1.60155044476963
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.781795003888686
ry | 1 | -0.274277201514864
ry | 2 | -0.372214769279378
ry | 3 | 0.291317303961053
ry | 4 | 1.27470017594061
ry | 5 | -3.12420150647017
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.210549978136238
ry | 1 | 0.508246180082832
ry | 2 | -0.590212805750986
ry | 3 | -0.569265760158794
ry | 4 | 0.901869012209710
ry | 5 | 0.0725027563175326
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.988875594151741
ry | 1 | -2.67537945838994
ry | 2 | -0.0169089833460131
ry | 3 | 4.07728796494256
ry | 4 | 0.970823281666021
ry | 5 | 1.69407775102582
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.01405436214319
ry | 1 | 2.40353791845579
ry | 2 | 2.65419777935477
ry | 3 | 0.0643979087564599
ry | 4 | 0.0189837504817243
ry | 5 | -0.197086314497243
