x | 2 | 
ry | 0 | 0.00292815792473241
ry | 1 | 0.378229355859065
ry | 2 | -0.801021363320793
ry | 3 | -0.110728366450450
ry | 4 | 0.544203208576009
ry | 5 | 0.000722447715642741
ry | 6 | 9.70154747682466e-6
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.182816453373550
ry | 1 | -1.60381267236627
ry | 2 | 0.471523552918587
ry | 3 | -0.796156486053028
ry | 4 | 7.48491782971258e-5
ry | 5 | 0.538848378709024
ry | 6 | -0.0713473792921876
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 3.46106873091001e-5
ry | 1 | -0.214437441536141
ry | 2 | -0.506302168854232
ry | 3 | -1.11362968231432
ry | 4 | 0.378524378729448
ry | 5 | -0.00124578830057495
ry | 6 | -0.000643017979876290
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.00345335769870743
ry | 1 | 0.0150942860776771
ry | 2 | 0.771547493766616
ry | 3 | -0.125869030965098
ry | 4 | 1.53508144640270
ry | 5 | -0.838104896953550
ry | 6 | -0.00544359031333150
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.0578735042140903
ry | 1 | -0.00407618210416741
ry | 2 | 1.57015718280513
ry | 3 | 1.70107112060651
ry | 4 | -0.188650514838864
ry | 5 | 0.150217155728093
ry | 6 | 1.34069659938971
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -1.56721004926713
ry | 1 | 0.00306776062583801
ry | 2 | -0.115429701507314
ry | 3 | 0.487522178262817
ry | 4 | -0.000577985581949673
ry | 5 | 0.000355655403698247
ry | 6 | -0.762762992907569
