x | 0 | 
x | 2 | 
ry | 0 | -0.000180435232676091
ry | 1 | -2.06966154015389
ry | 2 | -0.257365969210264
ry | 3 | -0.000167143192436537
ry | 4 | -0.000999909872533333
ry | 5 | -1.60478530812498
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.0586771733471250
ry | 1 | 0.0199154827207506
ry | 2 | 0.0642828484278426
ry | 3 | 0.244307593109315
ry | 4 | -1.54062631969012
ry | 5 | 0.00360008377972281
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.883161625025058
ry | 1 | 1.45155688374634
ry | 2 | -2.32147287926061
ry | 3 | -0.00346965578806226
ry | 4 | -0.0133225997138324
ry | 5 | -3.41791130134624e-5
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 0.000119039543941344
ry | 1 | -0.0297174869899961
ry | 2 | -0.379950034023299
ry | 3 | -0.0399994350244692
ry | 4 | -0.0849344846423434
ry | 5 | 0.0320070434792485
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0147837171254304
ry | 1 | 0.313340267879176
ry | 2 | 1.57346781093710
ry | 3 | 0.00215677604479359
ry | 4 | -1.64872163879779
ry | 5 | -0.0181656520328675
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | 1.13373564183147
ry | 1 | -1.60412513685970
ry | 2 | -0.00432989336265534
ry | 3 | 0.00551357323719260
ry | 4 | 0.00945202976018688
ry | 5 | -1.53927103279463
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0556890564355278
ry | 1 | -2.71556048031099
ry | 2 | -1.56056099049889
ry | 3 | 1.58220750339512
ry | 4 | -0.0121299711519396
ry | 5 | -1.58050631795010
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.0583841728990580
ry | 1 | -0.280472457782172
ry | 2 | -0.547924497535455
ry | 3 | 0.000263720395134437
ry | 4 | 0.758132374792776
ry | 5 | -1.60300049686468
