x | 2 | 
ry | 0 | 1.5672573963863203
ry | 1 | 0.6099690855831381
ry | 2 | 0.7183774296168346
ry | 3 | 1.5577886825404315
ry | 4 | 1.570808768991153
ry | 5 | -0.019659549117813202
ry | 6 | -0.20717556662825173
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -0.004012343160154925
ry | 1 | 0.003209790621236195
ry | 2 | -0.0018165405761647233
ry | 3 | 0.0055987921955368905
ry | 4 | 0.32668125733407494
ry | 5 | 0.2704658676160298
ry | 6 | 9.145949865269195e-05
cx | 5 6 | 
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.5697070832783804
ry | 1 | -0.6382588041763076
ry | 2 | -0.7185092508235781
ry | 3 | -1.5698485641372892
ry | 4 | -1.570847015680663
ry | 5 | 0.01972891864274816
ry | 6 | 0.16306928138615034
