x | 0 | 
x | 2 | 
ry | 0 | 0.00298185739848061
ry | 1 | 0.254434731865673
ry | 2 | 0.237715269778454
ry | 3 | 0.0239653561256442
ry | 4 | -1.39683362130264
ry | 5 | 0.150209507161223
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0872192938241547
ry | 1 | -0.00668245889854630
ry | 2 | -0.0597493958828600
ry | 3 | 0.0296678889282068
ry | 4 | -0.0121716927031276
ry | 5 | 0.0421518365927628
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00686952459153869
ry | 1 | -0.0664446973278743
ry | 2 | 0.0575914894543012
ry | 3 | 0.0974751736810870
ry | 4 | 0.00101286172871433
ry | 5 | 0.0384999286804868
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0293866910766859
ry | 1 | 0.540773795996500
ry | 2 | 0.169380683053229
ry | 3 | 0.0223591947988432
ry | 4 | -0.0113191280772193
ry | 5 | 0.00116928147211987
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00139489750395004
ry | 1 | -0.112940838697947
ry | 2 | -0.0703529050083528
ry | 3 | 0.240863507054068
ry | 4 | -0.0374516930775982
ry | 5 | -0.000315410447670944
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.117247208823853
ry | 1 | -0.146584479912869
ry | 2 | -0.00438222687206153
ry | 3 | 0.0989777693159350
ry | 4 | -0.00309093842343110
ry | 5 | 0.144936112716893
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.500289097168258
ry | 1 | 0.0219904708224063
ry | 2 | -0.000469661924097908
ry | 3 | 0.199969338902968
ry | 4 | 0.0177534910308719
ry | 5 | 0.167302697514037
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.00256337317394607
ry | 1 | 0.00634194593450996
ry | 2 | 0.129140136185509
ry | 3 | 0.0157438976283029
ry | 4 | -0.00751457934022872
ry | 5 | -0.00245392287476220
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.784086707279278
ry | 1 | 0.443940980300793
ry | 2 | 0.0224374297867846
ry | 3 | -0.0753840579751295
ry | 4 | -0.0380605324871791
ry | 5 | 0.0454689748795558
