x | 0 | 
x | 2 | 
ry | 0 | -0.0304350337190920
ry | 1 | 0.373395258778955
ry | 2 | 0.0439092621778587
ry | 3 | 0.0677243223879359
ry | 4 | -1.33384941004008
ry | 5 | -0.334824330245553
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.166755964790891
ry | 1 | 0.0724762201133262
ry | 2 | 0.0429666313343367
ry | 3 | 0.0755543881190164
ry | 4 | -0.0241413056707473
ry | 5 | 0.0765384746856720
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0570581517883472
ry | 1 | 0.0922064865529431
ry | 2 | -0.0283506166294015
ry | 3 | -0.0754049457318846
ry | 4 | 0.00704574224206844
ry | 5 | 0.0297739023528578
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0432096599490585
ry | 1 | 0.512476471622488
ry | 2 | 0.0628804083893958
ry | 3 | -0.0680552380899826
ry | 4 | -0.0101105023007745
ry | 5 | -0.00210084459072890
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0212105600843287
ry | 1 | 0.00631554600279510
ry | 2 | 0.249961168770723
ry | 3 | 0.449886013552837
ry | 4 | 0.00663437628832761
ry | 5 | -0.00333815315387557
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0632561960006919
ry | 1 | 0.334864130435941
ry | 2 | 0.152318124631445
ry | 3 | -0.0413832668443115
ry | 4 | 0.0965744382362369
ry | 5 | 0.0602043232265416
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.495946801661622
ry | 1 | 0.0511157034104242
ry | 2 | 0.0653801034176703
ry | 3 | 0.145699435488972
ry | 4 | 0.0219245985101492
ry | 5 | 0.264501125725138
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0424654935117629
ry | 1 | 0.0320884988061228
ry | 2 | 0.0953004795470958
ry | 3 | 0.0636200262383410
ry | 4 | -0.0380636693012571
ry | 5 | -0.00219103106946781
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.776265090223897
ry | 1 | 0.418266250543143
ry | 2 | 0.0493225738673894
ry | 3 | 0.0539037995328148
ry | 4 | -0.149453483171488
ry | 5 | -0.170584166520945
