ry | 0 | -0.295646891963656
ry | 1 | -0.0364090096455673
ry | 2 | -0.442296154554635
ry | 3 | 0.0742429283744107
ry | 4 | 0.293291882224136
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.512317481164636
ry | 1 | -0.294829845109664
ry | 2 | 0.0808479080729770
ry | 3 | -0.426595016998489
ry | 4 | 0.279022037068078
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.310453422630029
ry | 1 | 0.268638128474993
ry | 2 | 0.120228041869658
ry | 3 | -0.0404878270592737
ry | 4 | 0.338719992295432
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.452022396665375
ry | 1 | -0.243109640849721
ry | 2 | 0.0783390471991134
ry | 3 | 0.421797325473885
ry | 4 | -0.0446956088842976
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.313622457735375
ry | 1 | -0.209086450432123
ry | 2 | -0.153283912180845
ry | 3 | -0.133790238844254
ry | 4 | -0.291171132710566
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.207991177793234
ry | 1 | 0.135866070741184
ry | 2 | 0.0847633173426662
ry | 3 | -0.321241243474696
ry | 4 | -0.263240194625983
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.77033416948140
ry | 1 | 0.192157913468125
ry | 2 | 0.0790492442046418
ry | 3 | 0.237362676701250
ry | 4 | -0.444260718250922
