ry | 0 | 0.0499048660399374
ry | 1 | 0.0223764282237085
ry | 2 | 0.0594759766513646
ry | 3 | -0.220531666092548
ry | 4 | -0.0375844700604143
ry | 5 | -0.0813611022643882
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.233805181762698
ry | 1 | -0.166889595800996
ry | 2 | -0.434061100050434
ry | 3 | -0.685451155801573
ry | 4 | -0.176286503895977
ry | 5 | -0.0678601095998263
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.239468936437161
ry | 1 | -0.133712470767838
ry | 2 | 0.443568702299068
ry | 3 | 0.860820200873816
ry | 4 | 0.0773117042316000
ry | 5 | 0.255500617331102
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.406040707181911
ry | 1 | -0.107754998102486
ry | 2 | -0.293792154531944
ry | 3 | -0.550793007384898
ry | 4 | -0.933678680567945
ry | 5 | -0.360915070698958
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0210219046680239
ry | 1 | 0.120451492420041
ry | 2 | 0.532596777634963
ry | 3 | 0.164729991317201
ry | 4 | 0.0542927926338818
ry | 5 | 0.403255708562405
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0467988341360461
ry | 1 | -0.102384255261792
ry | 2 | 0.355520568096385
ry | 3 | -1.14217537051625
ry | 4 | 1.04408153048743
ry | 5 | 0.199555242067006
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0703906045977308
ry | 1 | -1.51578366986561
ry | 2 | 0.0533204911374662
ry | 3 | -0.928108488427832
ry | 4 | -0.178276860323294
ry | 5 | 0.658598095229220
