x | 2 | 
ry | 0 | 0.844389170307478
ry | 1 | -2.84322745702734
ry | 2 | -1.20734691971557
ry | 3 | -0.0817790130272630
ry | 4 | -0.0147814065279203
ry | 5 | 1.12154431344161
ry | 6 | -1.83674371386230
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 0.562979488872539
ry | 1 | -1.50892808236266
ry | 2 | -3.40037235285979
ry | 3 | -0.286669973376242
ry | 4 | 1.42671786882348
ry | 5 | 0.000690806258914516
ry | 6 | 0.135529467376256
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | -0.504285110440237
ry | 1 | 0.442175767164556
ry | 2 | 3.24005243405748
ry | 3 | -3.11896114578038
ry | 4 | 0.119707904150227
ry | 5 | -0.0339560551273800
ry | 6 | 0.0892352705548971
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 1.21545694783781
ry | 1 | 3.18670578171269
ry | 2 | -1.04977390361536
ry | 3 | -1.79836042280095
ry | 4 | -1.53093588693088
ry | 5 | 0.252410716516398
ry | 6 | 0.00980658918277280
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 0.0477839434375080
ry | 1 | -0.284537936673038
ry | 2 | -3.55075827221418
ry | 3 | -1.96183588982832
ry | 4 | 1.47608299863902
ry | 5 | -0.329889565937282
ry | 6 | 1.50398349162277
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 1.47441432277300
ry | 1 | -0.190540860317241
ry | 2 | 0.427261789790871
ry | 3 | -0.918060682143230
ry | 4 | 1.52785008057288
ry | 5 | 0.0633039235424691
ry | 6 | 0.00122038262505821
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
cx | 5 6 | 
ry | 0 | 0.0932955026405594
ry | 1 | 0.223737971022869
ry | 2 | 1.67124600180947
ry | 3 | -1.56945852104238
ry | 4 | 0.970690619623249
ry | 5 | 2.07400159150741
ry | 6 | 0.448542479607826
