x | 0 | 
x | 2 | 
ry | 0 | -0.0291159458655316
ry | 1 | -0.167342733163939
ry | 2 | -0.000240454473364886
ry | 3 | -0.0685525503957425
ry | 4 | -0.0271683979967274
ry | 5 | 0.136841643270795
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.524316404213731
ry | 1 | 0.0912398331934817
ry | 2 | 0.00288425860478884
ry | 3 | 0.167481466467207
ry | 4 | 0.575993865597688
ry | 5 | 0.122721296448821
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0738584764844976
ry | 1 | 1.54440540123386
ry | 2 | -1.27359120102730
ry | 3 | 0.00103125116470963
ry | 4 | -0.359518806159742
ry | 5 | -3.13408394507924
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.354049674723590
ry | 1 | 0.0779166296286672
ry | 2 | -0.0856168516955129
ry | 3 | -0.784771043313656
ry | 4 | 0.254694582004250
ry | 5 | 0.0259597016911904
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.383831639709437
ry | 1 | 0.0656032872010540
ry | 2 | 0.169575040841213
ry | 3 | -0.00681714786443749
ry | 4 | 2.35545391967391
ry | 5 | -0.179258936193669
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.07450383276230
ry | 1 | -1.57053530168861
ry | 2 | -0.111126142643411
ry | 3 | 0.911037380835847
ry | 4 | 0.0680810284043944
ry | 5 | 0.732628632911677
