ry | 0 | -0.142726539825374
ry | 1 | 0.462660298044224
ry | 2 | 1.56735838935926
ry | 3 | -0.207670151414329
ry | 4 | -0.00141125829370489
ry | 5 | 0.0262798349326574
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.953647456477443
ry | 1 | 0.950970676288673
ry | 2 | 0.00152516405604445
ry | 3 | -0.346675807066433
ry | 4 | 1.71229313846632
ry | 5 | 3.14032388471202
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.878594663339567
ry | 1 | -1.56935203170432
ry | 2 | -0.417191704821288
ry | 3 | -1.56813895884468
ry | 4 | -2.72097534632546
ry | 5 | 1.56329509309754
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.467681317029863
ry | 1 | -0.562819326332105
ry | 2 | -1.38231116554088
ry | 3 | 0.140793148600250
ry | 4 | 1.54517193016661
ry | 5 | 0.000311032111573243
