ry | 0 | 2.49413688679671
ry | 1 | -0.119281476081021
ry | 2 | 3.27707557783045
ry | 3 | -0.842562480404893
ry | 4 | 1.14138830947491
ry | 5 | 1.65233379197390
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.18994919461055
ry | 1 | 0.949546414681378
ry | 2 | -0.347447378531857
ry | 3 | -0.260097340817718
ry | 4 | -2.84618837148215
ry | 5 | -0.127258224145553
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -4.20405670417290
ry | 1 | 1.53943500847669
ry | 2 | -1.12501021258749
ry | 3 | -0.566896552777806
ry | 4 | -4.41789318460413
ry | 5 | 1.28662374608875
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.902000902926313
ry | 1 | 0.582891275804655
ry | 2 | 3.91059149340248
ry | 3 | 3.53611252949512
ry | 4 | 3.04579157034779
ry | 5 | -0.193181774086653
