ry | 0 | 0.0551987316686163
ry | 1 | 0.376309145063356
ry | 2 | 0.0137934109539697
ry | 3 | 0.133509956286821
ry | 4 | -0.0283869074192310
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 2.77500382727126
ry | 1 | 0.0299666081058197
ry | 2 | -0.199055475187796
ry | 3 | -0.530802446083597
ry | 4 | -0.0551253463043260
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.122454930086722
ry | 1 | 0.0960515705253088
ry | 2 | 0.125193089748991
ry | 3 | -0.570226253528006
ry | 4 | 1.00055223829116
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.505435995741671
ry | 1 | 0.192163338826390
ry | 2 | -0.0610151234318063
ry | 3 | 0.675179250963062
ry | 4 | -0.861056569890026
