ry | 0 | -0.231804883971609
ry | 1 | -0.123342558970195
ry | 2 | 0.103528496386973
ry | 3 | 0.117136503201519
ry | 4 | -0.0330691293294576
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0877048206096969
ry | 1 | 0.0479573768967451
ry | 2 | -0.0307252263927899
ry | 3 | 0.155891340766860
ry | 4 | -0.0217164258435827
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0445090202691518
ry | 1 | 0.0539895517867666
ry | 2 | -0.136553666921037
ry | 3 | 0.145923867084291
ry | 4 | 0.0135260767006127
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0118589683455979
ry | 1 | -0.261915032852494
ry | 2 | -0.0297431577243239
ry | 3 | 0.0256466089742982
ry | 4 | -0.00497979104784562
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0853540957018868
ry | 1 | -3.01633444041289e-5
ry | 2 | -0.153090523682591
ry | 3 | 0.113935628038753
ry | 4 | -0.0889325593059122
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0590316141322795
ry | 1 | 0.0220638276767477
ry | 2 | 0.160798251474756
ry | 3 | -0.286847228323078
ry | 4 | -0.0654038659210794
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.300900133857690
ry | 1 | 0.0892512240908010
ry | 2 | 0.0249504310295062
ry | 3 | 0.184371246816293
ry | 4 | 0.0721470934836577
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.319796034483580
ry | 1 | -0.0744576499194037
ry | 2 | -0.0238181809999647
ry | 3 | 0.0715833770869840
ry | 4 | 0.00983318706166462
