ry | 0 | 0.467474243223584
ry | 1 | -0.112777148940298
ry | 2 | 0.114224333081605
ry | 3 | 0.433733041490436
ry | 4 | -0.0406587058548733
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0522213638584917
ry | 1 | -0.000519574290942147
ry | 2 | -0.0302926961875839
ry | 3 | 0.432180429231036
ry | 4 | 0.0226069055337930
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.303242028749385
ry | 1 | 0.115561390726013
ry | 2 | 0.221530653865578
ry | 3 | 0.411498260727689
ry | 4 | -0.0581340969486225
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.245604620087942
ry | 1 | -0.0736632254647789
ry | 2 | -0.127032326483490
ry | 3 | -0.0953049444073914
ry | 4 | 0.0628371409068737
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.221897960933999
ry | 1 | -0.0328538853007007
ry | 2 | 0.0543034267104803
ry | 3 | -0.279254690488202
ry | 4 | 0.0252816959716831
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.223814673702886
ry | 1 | -0.155431802013280
ry | 2 | -0.0648090217452138
ry | 3 | 0.0795528833010503
ry | 4 | -0.0131183565430021
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.113449557219315
ry | 1 | 0.101731165899721
ry | 2 | 0.106374219363002
ry | 3 | 0.252769768190209
ry | 4 | 0.0632034657909611
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -1.56182981201333
ry | 1 | -0.360936353783003
ry | 2 | -0.0650476935540838
ry | 3 | -0.235171899715025
ry | 4 | -0.0454167408672009
