ry | 0 | -0.101769398228633
ry | 1 | -0.0162137687881370
ry | 2 | -0.453831207306116
ry | 3 | 0.0889758874871889
ry | 4 | 0.339565849926914
ry | 5 | -0.258151991073290
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0452530830462228
ry | 1 | -0.179587408722265
ry | 2 | -0.206319754537555
ry | 3 | -0.324094896565387
ry | 4 | 0.231508856544980
ry | 5 | 0.225540027729802
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.410164662083571
ry | 1 | -0.194661903561548
ry | 2 | -0.00892827387854967
ry | 3 | -0.0195023468385404
ry | 4 | 0.308990704942525
ry | 5 | 0.187410702267359
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0251443567986055
ry | 1 | -0.205411440046617
ry | 2 | 0.00568081774350368
ry | 3 | -0.524720011600533
ry | 4 | -0.119308110348047
ry | 5 | 0.219263143114300
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.486705154317213
ry | 1 | -0.196842621611561
ry | 2 | 0.651483180501779
ry | 3 | 0.0742963045354854
ry | 4 | -0.538476200453113
ry | 5 | -0.146942956936750
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.127512234476055
ry | 1 | -0.303760803729758
ry | 2 | 0.223389574333443
ry | 3 | -0.567994721102049
ry | 4 | -0.153335611210401
ry | 5 | -0.308895411613878
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.221574470508324
ry | 1 | 0.273082440650598
ry | 2 | 0.154854321497606
ry | 3 | 0.907025578373813
ry | 4 | 0.0747475361532245
ry | 5 | 0.0138401299670426
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0606493655870719
ry | 1 | -0.134568636736586
ry | 2 | 0.0777462892701865
ry | 3 | -0.174028212972961
ry | 4 | -0.157838420922893
ry | 5 | 0.395641456951894
