ry | 0 | -0.00326519516016515
ry | 1 | 0.0733784345749594
ry | 2 | 0.0312133913434484
ry | 3 | -0.0434734920708735
ry | 4 | 0.0213024333721814
ry | 5 | 0.000868663229880806
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.481855588751054
ry | 1 | -0.277360688090622
ry | 2 | -0.0425463270298625
ry | 3 | 0.291507861570074
ry | 4 | -1.26340490020387
ry | 5 | 0.0944935784998207
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0432662856028661
ry | 1 | -0.566653394148029
ry | 2 | 0.598494468556575
ry | 3 | -0.219394187941191
ry | 4 | 0.00797029320614073
ry | 5 | -0.0274266740972666
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.31832740234191
ry | 1 | 0.401110900006504
ry | 2 | -0.213667428465830
ry | 3 | 0.147443557788285
ry | 4 | -0.301322421290847
ry | 5 | 0.0655162483874450
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.126844296958808
ry | 1 | -0.0718577645968982
ry | 2 | -0.0431614575525237
ry | 3 | -0.00837171816718970
ry | 4 | -0.132345021805058
ry | 5 | 0.186504688290052
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.131847064566912
ry | 1 | 0.00715347397297155
ry | 2 | 0.647986898749083
ry | 3 | 0.239470559254069
ry | 4 | 0.191953523321226
ry | 5 | -0.0548821194089521
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.846835872157619
ry | 1 | -0.789315193781075
ry | 2 | 0.701365750980785
ry | 3 | 0.264669106648069
ry | 4 | 0.0841611199133508
ry | 5 | -0.0831604113503136
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.138401114095244
ry | 1 | -1.41901568832648
ry | 2 | 0.379370196683750
ry | 3 | 0.0972416299115727
ry | 4 | 1.43111002673566
ry | 5 | -0.0168672879963780
