x | 2 | 
ry | 0 | 0.0567152890710331
ry | 1 | 1.92092357535605
ry | 2 | -1.57078298794521
ry | 3 | 1.57080002630549
ry | 4 | 1.57079082495516
ry | 5 | 0.000243274652874361
ry | 6 | 2.90674657727976
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -1.21067604430988
ry | 1 | -1.57089624188813
ry | 2 | 1.57089728920436
ry | 3 | 1.46918137354074
ry | 4 | -3.01613365243188
ry | 5 | 2.92315979173072e-5
ry | 6 | 3.35809812946723
