x | 0 | 
x | 2 | 
ry | 0 | 0.00464613955056164
ry | 1 | -3.11447567963739
ry | 2 | 0.880641061334021
ry | 3 | -0.000711752788285519
ry | 4 | 0.198289641464677
ry | 5 | 2.95308511057981
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 4 5 | 
ry | 0 | -0.000351079478621640
ry | 1 | -0.881257970663177
ry | 2 | -0.0352734748908498
ry | 3 | -3.15726746660983
ry | 4 | -0.0346657168103151
ry | 5 | -0.254881088980846
