x | 2 | 
ry | 0 | 0.309875060035452
ry | 1 | 0.0271993119402994
ry | 2 | 1.35981435418526
ry | 3 | -1.49731405755664
ry | 4 | 0.669960755821617
ry | 5 | 1.26952661166507
ry | 6 | -0.474090064332296
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.598847124435227
ry | 1 | -0.0890462151720051
ry | 2 | 0.792530228618218
ry | 3 | 3.14159265358979
ry | 4 | -0.0946476467674708
ry | 5 | 0.254904890132647
ry | 6 | -1.73930614608845
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.600530481866394
ry | 1 | 0.408958279729816
ry | 2 | 0.829262863283363
ry | 3 | -2.60208065704905
ry | 4 | 0.0625369018419004
ry | 5 | -0.214811360809807
ry | 6 | -0.288672301842417
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.370066178909546
ry | 1 | 0.292495748446535
ry | 2 | 0.402079255117656
ry | 3 | 1.28009718672606
ry | 4 | 0.0455273525128165
ry | 5 | 3.14159265358979
ry | 6 | -0.0108632141874980
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.440555843731683
ry | 1 | 0.868969455555381
ry | 2 | 0.586221333163052
ry | 3 | -2.52363683624279
ry | 4 | -2.89776895842038
ry | 5 | -0.0752237321734509
ry | 6 | 0.0841999900503778
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.623607646319019
ry | 1 | -1.61110411032148
ry | 2 | 0.501952054679407
ry | 3 | -1.11534229752853
ry | 4 | 1.31736638351559
ry | 5 | 1.53464875740850
ry | 6 | 1.57119270464940
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 1.56515458027584
ry | 1 | -0.00387277247283271
ry | 2 | 2.87925348211760
ry | 3 | 0.217131951586248
ry | 4 | -0.296381714695088
ry | 5 | -0.274764466770470
ry | 6 | -0.0480218180576013
