x | 2 | 
ry | 0 | 0.00302692213254343
ry | 1 | -0.00190438448371371
ry | 2 | -0.348634609823519
ry | 3 | 2.79705188392324
ry | 4 | -3.12422011852755
ry | 5 | 1.49005123749548
ry | 6 | -0.000707852558590040
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.115135941428996
ry | 1 | -3.14159265358979
ry | 2 | -3.14159265358979
ry | 3 | 1.74022668065951
ry | 4 | -1.58599367884315
ry | 5 | -2.10650792963922
ry | 6 | -1.59236855300217
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.0305467354800692
ry | 1 | 1.53913007680653
ry | 2 | 0.0251490077838686
ry | 3 | -0.000726417022834473
ry | 4 | -3.14159265358979
ry | 5 | -3.14073654753249
ry | 6 | 1.55701114467066
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.0508574818488475
ry | 1 | 0.0565259435061974
ry | 2 | -1.58258719646341
ry | 3 | -3.13869134381895
ry | 4 | 1.30537906410867
ry | 5 | -0.00843899029313975
ry | 6 | 2.53129956097723
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.0749417689380128
ry | 1 | -0.118072563738147
ry | 2 | 1.49344044063465
ry | 3 | -1.54531797793262
ry | 4 | 0.907594652105146
ry | 5 | -3.14086113914793
ry | 6 | 1.37931802662446
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 1.71240144716281
ry | 1 | -1.45121211389296
ry | 2 | -1.18359886742842
ry | 3 | 1.57048244677237
ry | 4 | 1.49299428863405
ry | 5 | -1.57081611002916
ry | 6 | 1.63140108191561
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 3.14159265358979
ry | 1 | 1.53394453878930
ry | 2 | 2.95037324854275
ry | 3 | -2.10194144153412
ry | 4 | 1.59569958445577
ry | 5 | -2.77211794374682
ry | 6 | -0.663495189417412
