x | 2 | 
ry | 0 | -6.96971662831776e-8
ry | 1 | -1.44628065112871e-6
ry | 2 | -0.0893292643365745
ry | 3 | 0.234991324101340
ry | 4 | 0.285782992406369
ry | 5 | 4.04588630194304e-7
ry | 6 | 5.20766017145561e-8
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -2.12187726583596e-6
ry | 1 | -7.28203407424292e-5
ry | 2 | -0.0456599163223763
ry | 3 | 0.817656302255661
ry | 4 | -4.33448829217915e-6
ry | 5 | 0.182701305405381
ry | 6 | -6.11836208451329e-6
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -7.93678906964889e-7
ry | 1 | 3.68455579557334e-6
ry | 2 | 3.50326882219304e-6
ry | 3 | -0.0345510034958044
ry | 4 | -0.373329396476618
ry | 5 | 0.503121157421907
ry | 6 | 1.39717068927288e-6
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 7.32910353991306e-6
ry | 1 | -1.53730158711035e-6
ry | 2 | 3.06930839742463e-6
ry | 3 | 5.07894875725104e-5
ry | 4 | 0.00885424248344587
ry | 5 | 0.581111657233686
ry | 6 | -0.162692441530919
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -5.97299954910402e-6
ry | 1 | 5.48856376027754e-6
ry | 2 | 2.21662376022425e-6
ry | 3 | 1.88965677942341e-6
ry | 4 | -0.0552155504093783
ry | 5 | 1.39880353474106e-5
ry | 6 | 0.483651294913029
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.736950570829283
ry | 1 | 9.28152118117428e-7
ry | 2 | -8.25713756361798e-7
ry | 3 | 1.50662144313693e-5
ry | 4 | 1.91580168719892e-5
ry | 5 | -0.0571984902054915
ry | 6 | 0.387795230164039
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.135404467433406
ry | 1 | -0.00401395709622215
ry | 2 | 0.929809273842583
ry | 3 | 0.227502355684837
ry | 4 | -4.64303583785753e-7
ry | 5 | -1.73676973978656e-6
ry | 6 | 1.08680509109937e-6
