ry | 0 | -2.23592926093407
ry | 1 | -0.456024481307548
ry | 2 | 2.44252970297067
ry | 3 | -0.133196502308438
ry | 4 | -0.100208406766639
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0127061110129721
ry | 1 | -0.370990275541421
ry | 2 | -0.264924687544535
ry | 3 | 0.204931077437855
ry | 4 | -0.0439120836856347
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.76957100928027
ry | 1 | 1.83798740440194
ry | 2 | 2.27368169006588
ry | 3 | -1.11303965556878
ry | 4 | 1.74184022686141
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.323231341474733
ry | 1 | -1.19943522999079
ry | 2 | -4.93430276821229
ry | 3 | 1.00263205502897
ry | 4 | -1.57990830010076
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 2.03875174600698
ry | 1 | -0.67727980197526
ry | 2 | -0.352267710634206
ry | 3 | -2.93583501193056
ry | 4 | 0.609196351550912
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0491283203294627
ry | 1 | 0.317048561998016
ry | 2 | 0.240566722981411
ry | 3 | -0.844621511120614
ry | 4 | -0.365571508818075
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.869340887628996
ry | 1 | 0.336758865994885
ry | 2 | 0.379113113651256
ry | 3 | 0.168221216488232
ry | 4 | -0.238166344942689
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.199973265301827
ry | 1 | 0.0896333397603827
ry | 2 | -0.0911895028615099
ry | 3 | -0.302557400435854
ry | 4 | 0.123026252024666
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0149177331593298
ry | 1 | -0.0821604936384394
ry | 2 | 0.0126272226655091
ry | 3 | 0.10600388510105
ry | 4 | 0.0947131833757453
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0519353352650794
ry | 1 | -0.275502097991844
ry | 2 | -0.106212776078103
ry | 3 | 0.209304798668461
ry | 4 | -0.0470584356794523
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0513219040002837
ry | 1 | -0.11573950201833
ry | 2 | -0.00645723181084735
ry | 3 | 0.0112553132028947
ry | 4 | -0.0530681171957794
