ry | 0 | -0.63678252314942
ry | 1 | -1.33180364439708
ry | 2 | -0.416266889810769
ry | 3 | -0.352857726435952
ry | 4 | 0.0895981163806304
ry | 5 | -1.94027599006917
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.490160102756283
ry | 1 | 0.347480145634578
ry | 2 | -0.02162088560994
ry | 3 | -0.281325281796416
ry | 4 | -0.279625751154031
ry | 5 | -0.122720515715264
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.09169620004792
ry | 1 | -1.74364871419656
ry | 2 | 1.41795590832911
ry | 3 | -0.327799730785285
ry | 4 | 1.74118030795971
ry | 5 | 2.43208459527414
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.97500748362587
ry | 1 | 1.64376867109605
ry | 2 | 0.0535709954532739
ry | 3 | -0.131350197604378
ry | 4 | 0.27819324398169
ry | 5 | -0.842013040865568
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.57462636235
ry | 1 | 1.25046133565104
ry | 2 | -1.79558579156258
ry | 3 | 1.26079821503542
ry | 4 | -2.03069604015671
ry | 5 | -0.0937771227571727
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.980589300851309
ry | 1 | -0.676586539047297
ry | 2 | 0.292477532634121
ry | 3 | 0.119840394155029
ry | 4 | 0.270884971403494
ry | 5 | -0.185970946486734
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.842558074164395
ry | 1 | 0.409183905942183
ry | 2 | -0.854258232549099
ry | 3 | 0.295186841410851
ry | 4 | 0.578073170270679
ry | 5 | -0.854075120994078
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.39402441904268
ry | 1 | 0.229995416155202
ry | 2 | 0.123723040217871
ry | 3 | 0.217413055591273
ry | 4 | -0.161100775301313
ry | 5 | -0.0109185101226525
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.175157158276111
ry | 1 | 0.293353022635173
ry | 2 | 0.590408152807786
ry | 3 | -0.663471247523013
ry | 4 | -0.135187120824171
ry | 5 | 0.393658095382875
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.700629243321677
ry | 1 | 0.256524221168565
ry | 2 | -0.110845300359725
ry | 3 | -0.220914388756964
ry | 4 | 0.170301078903666
ry | 5 | 0.128080550049505
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.284011287112744
ry | 1 | 0.0272950707644739
ry | 2 | 0.0378599904867004
ry | 3 | -0.129604290587459
ry | 4 | 0.0116597580537591
ry | 5 | 0.0895534960789082
