ry | 0 | -1.84744264001906
ry | 1 | -0.250617949965842
ry | 2 | 0.632476349970519
ry | 3 | 0.445160018742237
ry | 4 | 0.237187340901508
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0619906431547785
ry | 1 | -0.0425154609228304
ry | 2 | -0.0710385460714495
ry | 3 | 0.0447539068882086
ry | 4 | -0.00445958667823215
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.840090241869004
ry | 1 | 1.39394446338538
ry | 2 | -1.99452332938055
ry | 3 | 1.95823234800033
ry | 4 | -1.16688008580466
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.79522875723057
ry | 1 | -3.04551778914265
ry | 2 | 3.3547415233614
ry | 3 | -0.713874309830295
ry | 4 | -0.679504828453222
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0888745904607658
ry | 1 | -1.7792099632889
ry | 2 | -0.786839861593989
ry | 3 | -0.959254415337783
ry | 4 | 0.520040647574753
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.227896226961255
ry | 1 | 0.143311744864475
ry | 2 | -0.185936195358013
ry | 3 | 0.796486423325825
ry | 4 | -0.0411321477246949
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.118577040907044
ry | 1 | -0.162215211346695
ry | 2 | -0.429588334471459
ry | 3 | 0.279786931235082
ry | 4 | 0.388267183512422
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.215405023631541
ry | 1 | 0.0516684257580207
ry | 2 | 0.0532895269422618
ry | 3 | 0.000640475168433184
ry | 4 | 0.11478111980063
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0512761829111786
ry | 1 | -0.0287724661521197
ry | 2 | -0.0496200605775877
ry | 3 | 0.0562167967891531
ry | 4 | -0.0219594274342721
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.107436456392616
ry | 1 | -0.0450970496205672
ry | 2 | -0.0621711181843
ry | 3 | 0.0780676946971229
ry | 4 | 0.0769850508069086
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0232522231751346
ry | 1 | -0.0152810201925998
ry | 2 | -0.010294369261527
ry | 3 | 0.0228429679292634
ry | 4 | -0.0159155741884519
