ry | 0 | 1.40163269200064
ry | 1 | 0.715717440374523
ry | 2 | 0.368063931483082
ry | 3 | 1.41683136782637
ry | 4 | -0.420700905097337
ry | 5 | 0.358966067548445
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.110772941431571
ry | 1 | 0.627888212312075
ry | 2 | -0.503442368854516
ry | 3 | 0.353966007520396
ry | 4 | 0.806803847403182
ry | 5 | 0.455710811647313
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -2.50715477704772
ry | 1 | 0.419123596414267
ry | 2 | 0.626498154939119
ry | 3 | -0.73626748267054
ry | 4 | -1.04388348401639
ry | 5 | -3.75446401041651
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.41523955445469
ry | 1 | 2.60974166935461
ry | 2 | 1.8063923749234
ry | 3 | 0.016436674551688
ry | 4 | -1.53786951150899
ry | 5 | 2.267704023862
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.959880831306031
ry | 1 | 2.07631697861067
ry | 2 | 2.22589533940841
ry | 3 | 2.0939738124432
ry | 4 | -1.64846916756723
ry | 5 | -0.210792612557766
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 3.40126314791282
ry | 1 | 2.31925489135026
ry | 2 | 0.0614519954882101
ry | 3 | 0.14852034488368
ry | 4 | -1.35498838838658
ry | 5 | 0.0529405988949683
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.58401057752925
ry | 1 | 1.16301909074885
ry | 2 | -0.599343807509832
ry | 3 | -0.620297926032085
ry | 4 | -0.0878591152159731
ry | 5 | 0.487261974325933
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.159390113001033
ry | 1 | -0.23512263799194
ry | 2 | 0.28811647059512
ry | 3 | -0.112555213884566
ry | 4 | 0.335689907620132
ry | 5 | -0.0992988223668811
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0694130886665017
ry | 1 | 0.20450168001811
ry | 2 | -0.226301902647753
ry | 3 | 0.044920384155038
ry | 4 | 0.0143705262533447
ry | 5 | -0.290604733813084
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.108631749364127
ry | 1 | 0.291013461852893
ry | 2 | -0.193762939055273
ry | 3 | 0.147996887099059
ry | 4 | -0.0788363889365212
ry | 5 | 0.0407456353943229
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0331153247664214
ry | 1 | -0.0709195047664412
ry | 2 | -0.0838324119328918
ry | 3 | -0.065390029662014
ry | 4 | 0.0975643930119926
ry | 5 | 0.0289155410667851
