ry | 0 | 0.109767517884564
ry | 1 | -0.156336871002781
ry | 2 | 4.18411323012451
ry | 3 | -0.12020168006641
ry | 4 | -0.231751572132344
ry | 5 | 0.10547764042299
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.057469061313586
ry | 1 | -0.194677518003481
ry | 2 | -0.169631053813245
ry | 3 | -0.114650044696577
ry | 4 | -1.80021796888367
ry | 5 | -2.88632990104672
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0340177825314797
ry | 1 | -0.126464171611398
ry | 2 | -2.26157116791069
ry | 3 | 1.57474856944293
ry | 4 | 1.33310876654818
ry | 5 | 2.55184514284289
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.65994611479074
ry | 1 | -4.01805788264934
ry | 2 | 1.73008877058187
ry | 3 | 1.48323235944305
ry | 4 | -1.07740243723995
ry | 5 | -2.49738624479224
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 3.51565568164478
ry | 1 | -1.25679252516095
ry | 2 | 1.64197309433297
ry | 3 | 1.62423982857955
ry | 4 | 1.46385021302662
ry | 5 | -1.36756807910937
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0758921857676018
ry | 1 | 1.27782598246762
ry | 2 | -2.71570829199992
ry | 3 | -0.0525577211388721
ry | 4 | -0.279849255759948
ry | 5 | 2.83128417630152
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0649548968733788
ry | 1 | -0.839697970308242
ry | 2 | 0.213145824137855
ry | 3 | -1.2177849312509
ry | 4 | -0.54587905565163
ry | 5 | 1.1554232357539
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0951257354282599
ry | 1 | -0.0548895129592486
ry | 2 | 0.00788856262170688
ry | 3 | -0.419464253996597
ry | 4 | -1.57071310614188
ry | 5 | 0.390430372056196
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0109012399293122
ry | 1 | -0.113200509828657
ry | 2 | -0.204317358884687
ry | 3 | -0.0877661526535108
ry | 4 | -0.135256277563867
ry | 5 | -0.325397279565329
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0545048270122823
ry | 1 | -0.238142939591214
ry | 2 | -0.0798430633138366
ry | 3 | -0.0566180677061171
ry | 4 | -0.0140168438865641
ry | 5 | 0.0148144832235103
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.000848950023495108
ry | 1 | -0.0348058600531588
ry | 2 | -0.0172598973357683
ry | 3 | -0.00841113413828792
ry | 4 | -0.0331099268370261
ry | 5 | 0.00519626653290321
