ry | 0 | -0.981968170713988
ry | 1 | 0.0207046512163049
ry | 2 | 0.0929889705368116
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00646365491529396
ry | 1 | 0.00811976668845358
ry | 2 | 0.00043223927511523
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00349772547804856
ry | 1 | -0.00112508990233845
ry | 2 | 0.000699380175588826
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -3.86666312553731e-05
ry | 1 | 0.0200666406274626
ry | 2 | -0.0410124653358504
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.402725934296742
ry | 1 | 0.0397043115642963
ry | 2 | -0.584842188535646
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.199914298174522
ry | 1 | -0.0263043508157347
ry | 2 | 0.015168067569546
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0593437317566408
ry | 1 | -0.249936898216293
ry | 2 | 0.428553192130968
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.188156054185635
ry | 1 | -0.000906656307568435
ry | 2 | 0.00953612381335942
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.118504255358625
ry | 1 | 0.0796491023199463
ry | 2 | 0.0887789991501137
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.123446444362653
ry | 1 | 0.0061527028632829
ry | 2 | -0.000703482662703713
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00446323325900781
ry | 1 | -0.000241686866091419
ry | 2 | -0.0023422176760344
