ry | 0 | -0.0593653485245603
ry | 1 | 0.208692643063671
ry | 2 | 0.113098281491197
ry | 3 | 0.219266183812671
ry | 4 | 0.00206208481117663
ry | 5 | 0.0316151573608256
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.208843100155138
ry | 1 | -0.654227529954494
ry | 2 | 0.215721287245165
ry | 3 | 0.0403226965895583
ry | 4 | 0.857501257159665
ry | 5 | -0.0257461255441833
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.410209835947699
ry | 1 | -0.227606563691762
ry | 2 | -0.999986368210247
ry | 3 | 0.0160930953723121
ry | 4 | -1.05979730574269
ry | 5 | -0.0552544562109103
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.226592117390962
ry | 1 | -0.614383150704271
ry | 2 | -0.0248574293235830
ry | 3 | -0.0790325370882161
ry | 4 | 0.967193958972704
ry | 5 | -1.05931208030275
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.718647551087559
ry | 1 | -0.974909739853744
ry | 2 | 0.358087360140745
ry | 3 | -0.0378756423758897
ry | 4 | 1.05735538368962
ry | 5 | 0.272400135239438
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.31877023660256
ry | 1 | 0.805454609037665
ry | 2 | -0.196863527082439
ry | 3 | 0.0754579061132701
ry | 4 | -1.35683077096284
ry | 5 | 0.393735842580693
