ry | 0 | 0.286127883811353
ry | 1 | 1.21025877758115
ry | 2 | -0.525137237078072
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.317737686059813
ry | 1 | 2.48426760197227
ry | 2 | -1.71386496382361
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 1.09657624129989
ry | 1 | 0.216512141539684
ry | 2 | -0.337863643125676
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.449986235490466
ry | 1 | -2.90116459857791
ry | 2 | -1.44430105785068
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 2.64624712741489
ry | 1 | 0.752970365125453
ry | 2 | -0.395812538345825
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.849305216368301
ry | 1 | 2.23443771397709
ry | 2 | -0.533742399269605
