ry | 0 | 2.77693169471498
ry | 1 | 2.01459474825934
ry | 2 | 0.631905343929221
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 1.30584127736058
ry | 1 | 0.572623856402785
ry | 2 | -0.223331923788734
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.344354554691527
ry | 1 | 0.737437074406610
ry | 2 | 0.00183203277274671
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.546391621728158
ry | 1 | -3.39379634205551
ry | 2 | -0.250611474339349
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.777841278782046
ry | 1 | -0.0532687774460032
ry | 2 | -0.575613166543728
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 1.25047259294633
ry | 1 | 2.20365519221051
ry | 2 | -1.22692985749493
