ry | 0 | -0.650864959025344
ry | 1 | -0.145156024596396
ry | 2 | -1.26688488223216
ry | 3 | 0.665688595824816
ry | 4 | -0.199034234772371
ry | 5 | 0.982350634048592
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.521617379322032
ry | 1 | -0.249930907962891
ry | 2 | 0.282876939578087
ry | 3 | -0.377702999371555
ry | 4 | 0.00738789024691987
ry | 5 | -0.104633394880530
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.802728210147872
ry | 1 | -0.310399457855267
ry | 2 | -1.18588775498178
ry | 3 | 0.00159612628883835
ry | 4 | 0.345249864239210
ry | 5 | 0.133242785969448
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.641088320017300
ry | 1 | 0.195887168888907
ry | 2 | 0.925284381113454
ry | 3 | -0.409509988197994
ry | 4 | 0.113746677148468
ry | 5 | -0.420224127766272
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.19995573340949
ry | 1 | 1.34201987697697
ry | 2 | 0.393615416515218
ry | 3 | 0.0336406993397883
ry | 4 | -0.0174017985805133
ry | 5 | -0.862518515692035
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 1.03985443240397
ry | 1 | -0.869297674487857
ry | 2 | 0.0337866042273064
ry | 3 | 0.231364340767086
ry | 4 | 0.585077538414494
ry | 5 | -0.0511448282491518
