ry | 0 | -1.00143860214739
ry | 1 | 0.183063043784807
ry | 2 | 0.444856686250675
ry | 3 | 0.00857869869577220
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.145550615013845
ry | 1 | -0.146546698151624
ry | 2 | 0.310013319871131
ry | 3 | -0.334565484537731
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0328804699587539
ry | 1 | 0.0749990538938657
ry | 2 | -1.22361368277586
ry | 3 | 0.0256882167149833
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.0248692341278599
ry | 1 | 0.533657638596908
ry | 2 | -0.673654757772551
ry | 3 | 0.151394338683705
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0349444483440467
ry | 1 | -0.0699706451822069
ry | 2 | -0.0520748083360630
ry | 3 | -0.0818158771536109
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.155578141971195
ry | 1 | -0.213108771272381
ry | 2 | -0.223064146141074
ry | 3 | 0.429898148486036
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0685217999587104
ry | 1 | -0.253541968238220
ry | 2 | 0.381312064812034
ry | 3 | 0.0196865913276142
