ry | 0 | 0.726289017960500
ry | 1 | 0.276310581190238
ry | 2 | -0.214058573350605
ry | 3 | -0.0336630780760802
ry | 4 | 0.000165100633708171
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0666236071256172
ry | 1 | -0.0109180824184116
ry | 2 | -0.00727083937884527
ry | 3 | 0.000398785379148362
ry | 4 | -0.00300411094344180
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.891490041043756
ry | 1 | 0.0358461853898340
ry | 2 | 0.181281371491710
ry | 3 | 0.0592995166211379
ry | 4 | 0.0584479027086203
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0934379629501633
ry | 1 | 0.00702241668728026
ry | 2 | 0.00240929333324658
ry | 3 | 0.00306971337170221
ry | 4 | 0.0175910777490085
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0293108377557913
ry | 1 | -0.197567596585125
ry | 2 | 0.0852766187179242
ry | 3 | 0.00693976851172398
ry | 4 | -0.0488550153786931
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0523605055409600
ry | 1 | -0.00855855941799966
ry | 2 | 0.00246752710821277
ry | 3 | -0.00258302105068309
ry | 4 | -0.0208967453834040
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00516979627351255
ry | 1 | -0.00520314249743664
ry | 2 | 0.000115842693483174
ry | 3 | -0.0300989982415285
ry | 4 | -0.00201533538399002
