ry | 0 | -0.593482281439153
ry | 1 | 0.0602135998920745
ry | 2 | 0.249421862314304
ry | 3 | 0.538202202682605
ry | 4 | -0.320735504572539
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.845594940575356
ry | 1 | 1.32824959817179
ry | 2 | 0.383013273862117
ry | 3 | 0.0236295768471561
ry | 4 | -0.000516608597023738
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.00762724227248537
ry | 1 | 0.00771494270356466
ry | 2 | -0.0962740880486682
ry | 3 | -1.24052126938670
ry | 4 | 1.05439925803005
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.783940644699726
ry | 1 | 0.350632380660641
ry | 2 | 0.720087485233279
ry | 3 | -0.0239508954115503
ry | 4 | -0.00507374850056241
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0448196850297340
ry | 1 | 0.0246340129206117
ry | 2 | 1.58911370419606
ry | 3 | 0.655228570908568
ry | 4 | 0.00693285668098532
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.14980396984354
ry | 1 | -1.74264488089713
ry | 2 | -0.849829631937714
ry | 3 | -0.00542409285749757
ry | 4 | 0.00956586876619739
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.00561777635094
ry | 1 | 0.850179448790782
ry | 2 | 0.0338859183239600
ry | 3 | 0.245205017690548
ry | 4 | -0.733512564979896
