ry | 0 | -1.08437234597909
ry | 1 | 0.133932938846445
ry | 2 | 0.0846670508137090
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0336003652833909
ry | 1 | 0.00574128918781719
ry | 2 | -0.0146349341292063
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0536840425872363
ry | 1 | 0.0653798211109978
ry | 2 | 0.0639602169035067
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0816550511767883
ry | 1 | -0.00293326171330309
ry | 2 | 0.0300067815842738
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.335757021575107
ry | 1 | 0.0824364746103256
ry | 2 | -0.469087230684791
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.215783322010560
ry | 1 | -0.00499421178110492
ry | 2 | -0.0205870008871182
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.116610554587389
ry | 1 | -0.172928511322058
ry | 2 | 0.312122613117404
