ry | 0 | -0.509724255865522
ry | 1 | 0.170634066855238
ry | 2 | -0.542692909928517
ry | 3 | 0.982141129819301
ry | 4 | 0.986739364433656
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.895640303637039
ry | 1 | 0.388012110476572
ry | 2 | 0.317658248856983
ry | 3 | -1.24727579979432
ry | 4 | 1.51456424302883
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -1.09776708722736
ry | 1 | 0.383662417300875
ry | 2 | -2.20831271245605
ry | 3 | -0.920524847275905
ry | 4 | -2.67802268632367
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.31917791402166
ry | 1 | 1.36119601812019
ry | 2 | 2.73200110600627
ry | 3 | -1.03423284119976
ry | 4 | 1.11429523140657
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.413994529750087
ry | 1 | -2.14248627128817
ry | 2 | -1.78980928595953
ry | 3 | 1.67916410614669
ry | 4 | 0.242255412278170
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.198973036568546
ry | 1 | 0.359437304987587
ry | 2 | 0.0260969167584610
ry | 3 | -0.178834136407679
ry | 4 | -0.323356562961293
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.59293461821166
ry | 1 | 0.0430003123801441
ry | 2 | 0.166137913979330
ry | 3 | -0.0862356912351193
ry | 4 | -0.259299107137585
