ry | 0 | 2.01394435212891
ry | 1 | -0.870593364342596
ry | 2 | 0.303920989504103
ry | 3 | -0.337202615392635
ry | 4 | 0.575776359142374
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.366291808524607
ry | 1 | -0.0411418352998012
ry | 2 | -0.539252160422998
ry | 3 | -0.706211203898982
ry | 4 | -0.708365208764463
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.453687686934191
ry | 1 | 0.233957048686159
ry | 2 | -0.0503746057018417
ry | 3 | -1.18871747917131
ry | 4 | 0.217947948337146
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.558471774147564
ry | 1 | -0.863032785705919
ry | 2 | -0.331517643554496
ry | 3 | 0.119105507634259
ry | 4 | 0.361669276442794
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.231503273904763
ry | 1 | -0.702664302860530
ry | 2 | 0.415152959734485
ry | 3 | 1.99042863753889
ry | 4 | -1.36525262633249
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.03634215835347
ry | 1 | 1.31638851753634
ry | 2 | 0.360683522416902
ry | 3 | 0.557050249885334
ry | 4 | 0.487014936151061
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.120713769571526
ry | 1 | 0.0950966010708737
ry | 2 | -0.356263049602862
ry | 3 | -0.356871284304486
ry | 4 | 0.357123653545835
