ry | 0 | -0.368935406783593
ry | 1 | -0.245872849185678
ry | 2 | 0.0989189852267389
ry | 3 | 0.104649164113871
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.139507350025015
ry | 1 | 0.182802184316271
ry | 2 | 0.0591650483517919
ry | 3 | -0.0392893280323470
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.229765000214690
ry | 1 | 0.271498319701348
ry | 2 | -0.0895880318310984
ry | 3 | -0.0991744759202847
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.147938916661926
ry | 1 | 0.167947568511088
ry | 2 | -0.0774010455172195
ry | 3 | -0.129833860767653
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.881525471081291
ry | 1 | 0.559680476093086
ry | 2 | -0.879593359955611
ry | 3 | -0.0483742986114674
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.243029345036579
ry | 1 | -0.00423663174422606
ry | 2 | 0.0404091384836117
ry | 3 | -0.0428030572633340
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.188282188826907
ry | 1 | -0.0447965677537176
ry | 2 | 0.617694516704427
ry | 3 | 0.141555285158053
