x | 2 | 
ry | 0 | 0.00121738036918050
ry | 1 | 1.37926858142847
ry | 2 | -0.227334712828061
ry | 3 | 1.02983313226045
ry | 4 | -0.0209250205555714
ry | 5 | -0.0116437472998705
ry | 6 | -0.00385672842323497
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | -0.00151214066706298
ry | 1 | 1.11430341507788
ry | 2 | -0.0601781837234053
ry | 3 | 0.0983828179809423
ry | 4 | 0.00168073387239024
ry | 5 | -1.02739976086528
ry | 6 | 0.260417055865629
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
cx | 4 5 | 
cx | 4 6 | 
cx | 5 6 | 
ry | 0 | 0.0614671594159355
ry | 1 | -0.000597744971072449
ry | 2 | -0.160918333816229
ry | 3 | 0.108065796161056
ry | 4 | -0.00589476691829271
ry | 5 | -0.605509443284183
ry | 6 | 0.000729815985736255
cx | 0 1 | 
cx | 0 2 | 
cx | 0 3 | 
cx | 0 4 | 
cx | 0 5 | 
cx | 0 6 | 
cx | 1 2 | 
cx | 1 3 | 
cx | 1 4 | 
cx | 1 5 | 
cx | 1 6 | 
cx | 2 3 | 
cx | 2 4 | 
cx | 2 5 | 
cx | 2 6 | 
cx | 3 4 | 
cx | 3 5 | 
cx | 3 6 | 
