ry | 0 | -1.12880933803689
ry | 1 | -0.000260659413767510
ry | 2 | 0.0486730611985651
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00367545575094449
ry | 1 | 3.75550638936254e-5
ry | 2 | 0.000102456664518627
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00227587743996590
ry | 1 | -0.000629040048146207
ry | 2 | 0.000339696054153207
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.000412823241616957
ry | 1 | 0.00108709224956170
ry | 2 | -0.0268541126359296
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.319871839046854
ry | 1 | 0.0271947250887687
ry | 2 | -0.439511185713800
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | 0.127075158874341
ry | 1 | -0.00325214359779789
ry | 2 | 0.000694344446566317
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0404220067792130
ry | 1 | -0.198182199089889
ry | 2 | 0.331627268663392
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.133259965855831
ry | 1 | -0.00277024330910272
ry | 2 | 0.0173783751169174
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0849868788841659
ry | 1 | 0.0587804257010469
ry | 2 | 0.0634469489458620
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0886839829710374
ry | 1 | -0.000103088719190634
ry | 2 | -0.000330610697479225
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00248623326253931
ry | 1 | 0.000825379729994639
ry | 2 | -0.000454647527746842
