ry | 0 | 0.833409301473130
ry | 1 | -0.817035779325325
ry | 2 | -0.961556510177850
ry | 3 | -0.876113049804771
ry | 4 | 0.248838278885704
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.155106803018088
ry | 1 | 0.0248559013482559
ry | 2 | -0.391192197028590
ry | 3 | -0.0597150412311992
ry | 4 | 0.156690051140108
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.274833296536463
ry | 1 | -1.08997660077908
ry | 2 | 1.09178581895354
ry | 3 | -0.404585712283940
ry | 4 | -3.04872629225992
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.915179185422138
ry | 1 | 0.218313245683299
ry | 2 | 0.448010384027725
ry | 3 | 0.500522480934758
ry | 4 | 0.317124036051011
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.628242175993610
ry | 1 | 0.569839597754393
ry | 2 | 0.660215413496286
ry | 3 | 2.38386292300710
ry | 4 | 1.81063435459338
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.324623026224268
ry | 1 | 0.502660492503812
ry | 2 | -0.00832286986101786
ry | 3 | 0.163069827850041
ry | 4 | -0.130685549752524
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.523431821480835
ry | 1 | 0.391609427052847
ry | 2 | -0.839222049456415
ry | 3 | -0.867855737504199
ry | 4 | 0.770798921763637
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.115463917965848
ry | 1 | -0.0292972436226942
ry | 2 | 0.128165562512797
ry | 3 | 0.00501650533813659
ry | 4 | -0.0163201117278635
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0712959497075304
ry | 1 | 0.0648689614838403
ry | 2 | -0.00612374477948268
ry | 3 | -0.0748425746182163
ry | 4 | 0.0858719313462376
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.152463386383201
ry | 1 | 0.114235894713815
ry | 2 | -0.268731961307269
ry | 3 | -0.0146360517692806
ry | 4 | 0.0504197575920942
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0236588186176334
ry | 1 | 0.0334164948969487
ry | 2 | -0.00630773856731684
ry | 3 | 0.0635866572083012
ry | 4 | 0.0157749805495778
