ry | 0 | -0.435313363606363
ry | 1 | -0.360458434673353
ry | 2 | -0.0779633934325187
ry | 3 | 0.200364447106656
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.0305282221693485
ry | 1 | 0.0719253526095176
ry | 2 | 0.00380770374137954
ry | 3 | -0.00954116028989665
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0376863828522495
ry | 1 | 0.0156150944466729
ry | 2 | -0.0829976193023029
ry | 3 | -0.360340684849405
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.0696071802431792
ry | 1 | 0.300943704429366
ry | 2 | 0.0364055592502324
ry | 3 | -0.101566461486426
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.726511923696275
ry | 1 | 0.625699991773553
ry | 2 | -0.814177503483065
ry | 3 | -0.0396384651937588
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.331461444136718
ry | 1 | 0.0298215315948949
ry | 2 | -0.00636305703877334
ry | 3 | -0.115566304574265
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.223660015615806
ry | 1 | 0.0355789397155692
ry | 2 | 0.762425180966378
ry | 3 | 0.256253016907777
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | 0.0347953418173274
ry | 1 | -0.0789333094207636
ry | 2 | 0.0781271990442375
ry | 3 | -0.0246316723683323
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.218974820061162
ry | 1 | 0.329087517624401
ry | 2 | -0.00545068189461580
ry | 3 | 0.0253390455226879
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
ry | 0 | -0.0840305881540702
ry | 1 | 0.0329755618472061
ry | 2 | -0.00101809328533686
ry | 3 | 0.00517174612678394
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.0355609900234036
ry | 1 | 0.000443499473980253
ry | 2 | 0.00141150507905602
ry | 3 | 0.00139165834086180
