ry | 0 | -1.53889623566963
ry | 1 | 0.578552593651322
ry | 2 | -2.38338485387346
ry | 3 | 0.495812552682867
ry | 4 | 0.135568675355884
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.04055010309042
ry | 1 | 0.203891317253469
ry | 2 | 0.0126386778213553
ry | 3 | 0.145586012823606
ry | 4 | -0.0406842204867955
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.32697338190522
ry | 1 | 0.307513861776104
ry | 2 | -1.04019713293707
ry | 3 | -0.30460695970105
ry | 4 | 0.293998768454824
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0523318444239154
ry | 1 | -0.289976222218918
ry | 2 | -0.560421726270628
ry | 3 | -0.284278342036808
ry | 4 | -3.10830088831706
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.439928208619671
ry | 1 | 0.425229873816254
ry | 2 | 2.16430299620934
ry | 3 | -1.90843498025642
ry | 4 | 0.515237790764958
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 1.17164134021378
ry | 1 | -0.447034866725246
ry | 2 | -1.35060333094693
ry | 3 | -2.51856746920675
ry | 4 | -0.098461425401119
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.0733472720930893
ry | 1 | -0.476027358386564
ry | 2 | -0.0529423049397743
ry | 3 | -1.04898861002144
ry | 4 | 0.202156414637019
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.677444819339235
ry | 1 | -0.300865910232481
ry | 2 | 0.473682934825732
ry | 3 | -0.0595765974635471
ry | 4 | 0.820774456402406
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.190481100969766
ry | 1 | -0.00859244712607037
ry | 2 | 0.113848999347836
ry | 3 | -0.120701279448188
ry | 4 | 0.0557266207247574
