ry | 0 | 2.03733596510491
ry | 1 | 0.512664067138628
ry | 2 | -1.06861005768978
ry | 3 | 0.694030997939409
ry | 4 | 0.233535197272558
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.0420429663415339
ry | 1 | -0.0043350081010287
ry | 2 | -0.272837915279783
ry | 3 | -0.197040477202412
ry | 4 | 0.343201963015504
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.36272423041474
ry | 1 | -1.61987041174544
ry | 2 | -0.684043755221343
ry | 3 | 1.84741470804116
ry | 4 | -2.82960932205254
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | 0.451151942888306
ry | 1 | -2.11865365673361
ry | 2 | 0.834611404293543
ry | 3 | -4.57113758323366
ry | 4 | 0.986312034444289
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.56557700400055
ry | 1 | 3.43595492081642
ry | 2 | -0.722052361869918
ry | 3 | 1.29000062589525
ry | 4 | 0.16373456704267
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.212091373541288
ry | 1 | -0.158974977445301
ry | 2 | -0.0856025331165052
ry | 3 | 0.285125363236288
ry | 4 | 0.172561726479175
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.260297542760893
ry | 1 | 0.0103175018935258
ry | 2 | -0.101847752642639
ry | 3 | -0.17439916844015
ry | 4 | 0.13302181381583
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
ry | 0 | -0.0697523432581258
ry | 1 | -0.0346431365803894
ry | 2 | 0.00877725192482676
ry | 3 | -0.264633421158556
ry | 4 | -0.0252121269895329
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.00805057070263866
ry | 1 | -0.0357382318763088
ry | 2 | -0.00188511993068556
ry | 3 | -0.0247946526560031
ry | 4 | -5.17975406731352e-05
