ry | 0 | -0.554451839919866
ry | 1 | -0.00202200167269177
ry | 2 | 0.0500030750314862
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0105201513505527
ry | 1 | -0.00575076209046758
ry | 2 | -0.0309013294455366
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.00852885103292107
ry | 1 | -0.00168759431774955
ry | 2 | 0.0121616486593906
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.000779160369608259
ry | 1 | -0.0596731585777939
ry | 2 | -0.100936306624063
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.182468508673003
ry | 1 | -0.0127645109870999
ry | 2 | 0.0511592005664096
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.00391045361234193
ry | 1 | -0.0381246351762984
ry | 2 | -0.100671560337172
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.559651588096178
ry | 1 | -0.0201108618994861
ry | 2 | 0.0514538712908739
cx | 0 1 | 
cx | 1 2 | 
ry | 0 | -0.0170583689005787
ry | 1 | 0.0237502014535493
ry | 2 | -0.00476839139734828
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.176063414570579
ry | 1 | -0.00806337596520972
ry | 2 | 0.05062769514823
