ry | 0 | -0.907427303367493
ry | 1 | -3.16005039078661
ry | 2 | -0.953894129330023
ry | 3 | 0.129773996656706
ry | 4 | -0.940435948572206
ry | 5 | -0.00489896499275036
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.0901895244780149
ry | 1 | 0.717634770275735
ry | 2 | -0.801951891055304
ry | 3 | 0.00725262889892548
ry | 4 | 0.321384600840058
ry | 5 | -0.390986974235863
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | -0.506327178139810
ry | 1 | -0.622139083476982
ry | 2 | -0.623845873542418
ry | 3 | -1.36404313762182
ry | 4 | 1.04037563475796
ry | 5 | -0.0336635768671112
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -1.72283804705425
ry | 1 | 0.682714098089760
ry | 2 | 0.0402507514050247
ry | 3 | -0.000373354918314881
ry | 4 | -0.00943274933140659
ry | 5 | -0.143066734499299
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.73088176380801
ry | 1 | -1.29177511949611
ry | 2 | 0.354002269150913
ry | 3 | -0.415167269674533
ry | 4 | 1.50638233955454
ry | 5 | -0.0651614235225347
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -2.28072220112521
ry | 1 | -1.57192056078548
ry | 2 | 0.992261215050923
ry | 3 | -2.64947366382463
ry | 4 | 1.56910905014914
ry | 5 | 1.56934275247831
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 1.40080925223835
ry | 1 | 0.0848649862930009
ry | 2 | -0.411301391018211
ry | 3 | -0.578107176103339
ry | 4 | -1.68643946131854
ry | 5 | 0.00208238204966797
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | 0.113920709595933
ry | 1 | -0.402654261584261
ry | 2 | 0.239458810874269
ry | 3 | 0.104494533225945
ry | 4 | 0.000242069051957728
ry | 5 | -0.000553213418917421
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.103351805898939
ry | 1 | -0.0543565475164349
ry | 2 | 0.0552078151268592
ry | 3 | -0.544124695209068
ry | 4 | 0.0293284408032489
ry | 5 | 0.0115966704894285
cx | 0 1 | 
cx | 1 2 | 
cx | 2 3 | 
cx | 3 4 | 
cx | 4 5 | 
ry | 0 | -0.0219281090549264
ry | 1 | 0.215635726079343
ry | 2 | -0.444332966757902
ry | 3 | -0.212861259147645
ry | 4 | 9.48017169777347e-5
ry | 5 | -0.00193264910133326
cx | 4 5 | 
cx | 3 4 | 
cx | 2 3 | 
cx | 1 2 | 
cx | 0 1 | 
ry | 0 | 0.197249861462827
ry | 1 | 0.0263256267735073
ry | 2 | -0.101808421861715
ry | 3 | -0.0726479305541395
ry | 4 | 0.0817676916698459
ry | 5 | -0.0106013248468166
